Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
 66.67      0.02     0.02                             _mcount_private
 33.33      0.03     0.01                             __fentry__
  0.00      0.03     0.00   240008     0.00     0.00  __gnu_cxx::__normal_iterator<token*, std::vector<token, std::allocator<token> > >::__normal_iterator(token* const&)
  0.00      0.03     0.00   180004     0.00     0.00  token&& std::forward<token>(std::remove_reference<token>::type&)
  0.00      0.03     0.00   175948     0.00     0.00  advance(unsigned long long&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char&)
  0.00      0.03     0.00   120004     0.00     0.00  std::vector<token, std::allocator<token> >::end()
  0.00      0.03     0.00   120000     0.00     0.00  __gnu_cxx::__normal_iterator<token*, std::vector<token, std::allocator<token> > >::operator*() const
  0.00      0.03     0.00   120000     0.00     0.00  __gnu_cxx::__normal_iterator<token*, std::vector<token, std::allocator<token> > >::operator-(long long) const
  0.00      0.03     0.00   120000     0.00     0.00  std::vector<token, std::allocator<token> >::back()
  0.00      0.03     0.00    96383     0.00     0.00  operator new(unsigned long long, void*)
  0.00      0.03     0.00    86383     0.00     0.00  std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>::type&& std::move<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.03     0.00    69149     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__addressof<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.03     0.00    62766     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&& std::forward<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::type&)
  0.00      0.03     0.00    60000     0.00     0.00  get_next_token(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<token, std::allocator<token> >&, unsigned long long&)
